pid,file,NAME,ID,RESPONSE,RT,STIM,GROUP,PICNOS1,PICNOS2,MATCH,ORTN1,ORTN2,PICID1,PICID2,DAY,SESSION
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,940,79,1,20,19,1,2,1,32,32,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1086,80,1,14,22,2,2,1,24,34,2,2
11,data/raw/S101.txt,kp,kp_08nov_behav,1,950,1,1,29,28,1,2,1,40,40,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,1,1094,2,1,8,7,1,2,1,12,12,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,1,871,3,1,21,20,1,3,2,32,32,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,2,1240,4,1,25,18,2,1,3,38,29,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,1,1086,5,1,10,12,1,1,3,13,13,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,2,2039,6,1,6,25,2,3,1,4,38,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,2,1442,7,1,22,15,2,1,3,34,24,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,2,1169,8,1,14,4,2,2,1,24,4,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,1,854,9,1,3,1,1,3,1,2,2,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,2,1669,10,1,16,24,2,1,3,29,34,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,2,912,11,3,79,66,2,1,3,21,9,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,2,1042,12,3,66,86,2,3,2,9,23,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,2,1246,13,3,86,72,2,2,3,23,16,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,1,1145,14,3,73,80,2,1,2,18,21,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,1,1331,15,3,62,63,1,2,3,3,3,3,1
11,data/raw/S101.txt,kp,kp_08nov_behav,2,1707,16,3,78,76,1,3,1,19,19,3,1
